Model,TrainAcc,ValAcc,ValPrecision,ValRecall,ValF1,ValAUC
Transfer_resnet50,0.998624957029907,0.994042163153071,0.994005993586106,0.994074522464353,0.994038375410011,0.9998747
Transfer_resnet18,0.998510370115733,0.988084326306141,0.988100763461474,0.988051520043046,0.988075309761969,0.9995704
Existing_Model,0.987968374011688,0.984876260311641,0.984795538377367,0.984975282485876,0.984868629672288,0.9909394
Transfer_alexnet,0.988082960925862,0.974793767186068,0.974872264999138,0.97469061070756,0.974771379421762,0.9975467
Transfer_vgg16,0.980749398418701,0.953253895508708,0.953187277774417,0.953489036857681,0.953241167537987,0.9928139
Transfer_squeezenet_best,0.962186318322448,0.935838680109991,0.935771345418372,0.936061507936508,0.935821210346256,0.9893413
Transfer_squeezenet_long,0.928956113211871,0.913840513290559,0.913880188729971,0.914169693301049,0.913828278346912,0.979735
Transfer_squeezenet,0.885642259653947,0.860678276810266,0.861410941210503,0.861335586494485,0.860677808610937,0.9495705
Optimized_v1,0.807723158015355,0.774060494958753,0.774297710045991,0.773425309389292,0.773613106004885,0.8678099
Optimized_v3,0.806691875787785,0.76993583868011,0.772564856356572,0.768456584611246,0.768596542819286,0.8630871
Optimized_v2,0.513120201672969,0.513290559120073,0.256645279560037,0.5,0.339188370684434,0.5
